Iron_Ore_Price,Global_Demand,Global_Supply,Freight_Rate,Stockpile,Production_Volume,Production_Cost,Exchange_Rate_USD,Interest_Rate,Inflation_Rate,GDP_Growth_Importer,Tariffs,Steel_Production,Carbon_Emissions,Aluminum_Price,Copper_Price,Nickel_Price,Ore_Grade_Hematite,Ore_Grade_Limonite,Ore_Grade_Magnetite,Ore_Grade_Siderite,Mining_Location_Brazil,Mining_Location_India,Mining_Location_South Africa,year,month,day
11938.0207419972,2310.63167761013,1673.83158996964,2496.68699360782,17.446315205637,110219.266863356,5883.99218604315,5.78308517460754,1.80568177117158,5.37685631663616,4.469526785885151,13.6419119707315,1645.04613247537,1.21630151204733,49355.5422359859,113204.688508268,212075.979790165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022,1,1
16212.0640720063,1879.5488341861,2059.746073307,1036.30935032832,53.6084195572009,100712.661404939,6237.73816527368,6.486525939607006,4.90400446966438,3.07746698347957,5.58177241437043,7.79997186055382,1806.72273628399,1.50319793952965,48261.5164385583,130202.450117695,276565.37706602,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2022,1,2
5550.24804335896,1749.14501751154,2175.47221242015,1027.11540723787,37.2177560150682,69023.6033825628,2909.08826418669,7.25703710759586,4.20213815038893,3.01388067174166,3.12129191575615,11.8191138100935,1676.90141532198,1.54393021555616,40312.2669337663,81109.3322894521,187750.193707932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1,3
8786.55416516031,2033.11529573402,1866.29400525529,2071.08803191003,60.7067528035468,108761.367584341,4151.732661861,5.05293548053581,5.64521324207048,1.18103630743692,2.49217354522494,3.4176478211475,1666.80744548884,2.44133573492027,40627.7405417648,95074.3586807379,196797.927356328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,1,4
15700.2437882682,2321.12701105502,2142.92829564772,3778.58220529534,82.3424401435127,74399.1222658227,2827.49887331827,6.55101884962912,3.7435435233064,3.75570668097366,6.58403289037388,7.35332961980611,1518.96915646796,1.09710085441772,48512.6105661682,147853.91437539,312543.811282051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1,5
18428.1025653079,1689.5959701051,2275.13365773056,1686.03033881082,22.3433639337468,160154.851473832,5533.02064497108,6.58871804213802,7.19119082309791,4.54340419255952,4.80085947783679,5.37434195435823,1573.4802029519,2.30238461630172,59597.4119159792,124011.429848985,273332.966835055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022,1,6
12675.1616317349,2060.66992520713,1742.63652138938,2903.09106661506,62.2629176098856,81324.6403241885,4676.73884030828,6.20264640538373,8.77559339808559,1.57219081758424,2.76912962253705,12.4174291059928,1958.53909943273,1.9830533859222776,42369.2423313044,117558.317469581,247821.1861558,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2022,1,7
12981.7022789797,2068.40419808326,1966.33074183631,1666.22761207996,55.4957884350877,123401.935736098,5176.6167335416,5.89217999618596,3.6897686990818,2.52716383043935,5.9671829094368,0.339066590388399,1999.13871443662,1.16372301183258,36080.6483764776,139656.169820163,253951.176432037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022,1,8
6607.58017009664,2159.80172017375,1800.9965706592,1965.00996897864,22.9670907411879,132854.920672585,2982.43483478105,7.04517455123702,2.73685607145125,4.90628476891426,6.57464968314641,3.65764094949158,1890.2602879348,1.60161232217086,44776.5876767463,111974.22312012,157431.187137178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1,9
11711.1855023518,1618.41091661453,2154.99809332368,3544.12626880445,66.1598636976084,139284.45990791,4471.292125683922,5.62337139411426,2.0456251682868,2.82959717706787,2.84781759285554,2.28861336453568,1643.40631238674,1.4489457388572,48320.6622733136,92880.883951034,274996.397527102,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2022,1,10
12989.2589968253,2144.24246821388,2004.31535611681,3186.58432680984,34.6276376074694,180786.959192075,2207.48662754953,7.39684568621511,6.54628636513731,2.20801231020019,6.08706227634555,12.8878355808235,1744.3625910258947,2.1040647516797,41345.840630949,99627.9676540449,248636.34182245118,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2022,1,11
8637.05755452094,2318.12926859907,2044.20769228521,1286.19783193963,53.9050886689611,136547.241862652,3610.33767597864,7.40911148230241,4.99470392026512,4.36100331782556,6.66612530659564,7.01315774540648,1869.75172745304,1.71475280689592,46664.2912064391,106937.621050755,198952.931120207,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2022,1,12
9038.64846424071,1661.71479798321,2158.53991173112,2286.1060629593,17.4045091849355,101822.128058516,4798.72330666837,6.24578431271846,2.6921414547666,1.98379388835827,6.69180800148008,6.06330065839824,1984.25677844159,2.93198748481665,34869.8701245627,87077.0290079145,212402.774531699,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2022,1,13
10659.2624465693,1713.78899243149,1877.17933086371,1087.50929093579,51.362565149226,170451.782228948,4471.292125683922,5.85064403272894,6.87823059962669,5.47826459791588,6.5707823082675,6.74224143151619,1727.73558536468,2.9270991987817,37110.6599905294,117941.981952614,200071.71554281,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022,1,14
5301.06796666589,2374.25558463747,2240.56304788493,2442.67043980902,37.5817121238538,131041.833978113,5334.6372372934,5.85163454477213,2.33634864704755,1.5279919801307,4.73210506180051,14.578868260535,1914.76120764418,1.88743053824047,36589.3319481571,94180.4132939884,171400.332944481,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2022,1,15
9831.18748374767,1662.87925743854,1973.12020707229,2987.3020351032,84.0143090066818,61892.0426946787,4176.98161699875,6.44687397198863,5.98870635263157,4.53274901141413,3.78105658626934,12.7540109150388,1987.53446129935,2.59017492132051,42542.98454658314,117659.515499877,187761.463190051,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2022,1,16
8171.72010494817,2268.94658403262,1710.56837598474,1355.50787079445,15.1280854297631,134877.584046987,6765.60057197068,7.15873767424807,5.74433543462738,3.49774350643187,2.03636403847004,10.5955315777546,1936.736585528,1.02653708172175,40597.7223015233,86334.6653057516,169999.184794854,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2022,1,17
9912.46028266871,1943.05007080323,2087.12938271816,1866.65481672749,47.6746547426496,186202.781813249,5596.22600287915,6.07660607298157,7.60805021067475,5.34964781198496,2.30456113435763,4.35718438834881,1613.57487338566,2.0956231694496,33180.3380635581,87191.7942682117,258335.182473025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1,18
6796.43197728876,1722.50796696285,2155.28294530677,2505.281091496452,51.2588281718294,109446.893824733,6650.82601431275,6.83013003637325,1.495986759466,1.63097545513118,4.14419507648695,2.47759499277671,1504.01593193781,2.48659834461395,42542.98454658314,84954.4583627874,175782.622557899,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2022,1,19
18357.9092110984,2283.67491114526,1821.73317394726,3758.59307396814,75.2505468669206,94448.87028497,4637.93986636082,6.14745338174778,8.99085638666197,4.38947459248044,3.99663073195755,13.8215044353668,1746.0408526942,1.43388645081467,47491.3983018583,163838.459699731,264391.035543968,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022,1,20
12532.9251549686,1900.77472950239,2200.02547989912,3979.76504626889,61.6858817581189,71520.418552703,3294.52137396569,5.91356956745415,7.32692553532137,3.8602731959069,2.92356954784941,6.34613284194724,1765.68041584763,1.12234351033188,47296.6208617013,115215.8797308178,285992.368326493,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2022,1,21
15186.5347871673,1963.33561853672,2234.30027833603,1134.73389698684,70.0491103474763,72716.8282903036,2264.13343182361,5.07457854774738,2.94513398513886,3.40045071120023,3.97740014015828,7.7306448200705535,1600.62518227558,1.31183787181291,37336.747450643,119931.873334737,283866.410778518,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2022,1,22
16837.56857911,1823.31003245978,1793.83314116446,3283.02377048617,79.934435708658,114915.722651272,4471.292125683922,5.01174231720617,2.65064813748765,3.4788705494858316,4.469526785885151,7.06381239626453,1642.3371959734,1.88369617434771,54565.3962923366,121437.868099574,330755.737414011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022,1,23
12532.9251549686,2033.65576629143,2288.46503090065,2115.17219920702,87.5982676292369,139351.973624229,2606.51499002767,5.68162303349601,4.88494192729405,4.60988480899265,6.2439562638792,13.7677113423052,1882.57658042427,2.01274284151252,44433.7546243231,139815.203119517,230495.92593241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,1,24
6303.80432131135,1647.17148532652,1698.49806963413,2177.37455868844,38.2487947050223,62092.3107754402,3513.87564135983,6.21921886040298,8.35808796590137,5.68870827467411,3.49097438937799,5.80600970086939,1735.17362935656,1.76177024421753,28572.2622120287,99164.0221563797,184925.176422479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2022,1,25
